STOCK_CODE;COMPANY;SECTOR;SECOND_SECTOR; STOCK_PRICE ;STOCK_TYPE; VALUATION ;STOCK_AVAILABLE_AMOUNT;AVG_21_NEGOCIATION;DIVIDEND_PERIOD;DIVIDEND_LAST_PRICE;DIVIDEND_TOTAL_VALUE_SHARED;NET_PROFIT;DIVIDEND_YELD;AVG_PAYOUT_12_MONTHS;AVG_PAYOUT_5_YEARS;MAJOR_SHARE_HOLDER
USIM3;USIMINAS - USINAS SIDERURGICAS DE MINAS GERAIS SA;Siderurgia e Metalurgia;Siderurgia; R$11,44 ;ON; R$14.335.200.000,00 ;1253080000;232446.0;0.0;0.0432;56661616.0;321941000.0;0.004;0.176;0.0;Ternium Investiments S.Ã r.l
VAGV3;SAVIRG - S.A. (VIACAO AEREA-RIOGRANDENSE);Transporte;Transporte AÃ©reo; R$1,14 ;ON; R$79.716.800,00 ;69927000;0.0;0.0;0.0;0.0;-1698960000.0;0.0;0.0;0.0;
VALE3;CVRD - CIA VALE DO RIO DOCE;MineraÃ§Ã£o;Minerais MetÃ¡licos; R$50,44 ;ON; R$266.549.000.000,00 ;5284470000;1119530000.0;0.0;0.1717;10.408.479.011.583.000;13704000000.0;0.039;0.759521;0.0;
VGOR3;VIGOR - SA FABRICA PRODS ALIMCS VIGOR;Alimentos;LaticÃ­nios; R$-   ;ON; R$-   ;165447000;0.0;0.0;0.0;0.0;-32836000.0;0.0;0.0;0.0;
VIGR3;VIGOR FOOD - VIGOR ALIMENTOS S.A.;Alimentos;LaticÃ­nios; R$25,00 ;ON; R$4.069.200.000,00 ;162768000;0.0;0.0;0.1882;0.0;111280000.0;0.0;0.0;0.0;
VINE3;VICUNHA TEXTIL SA - VICUNHA TEXTIL SA;Tecidos, VestuÃ¡rio e CalÃ§ados;Fios e Tecidos; R$17,20 ;ON; R$729.091.000,00 ;42389000;0.0;0.0;0.0;0.0;180507000.0;0.0;0.0;0.0;
VIVO3;VIVO PARTICIPAÃ‡Ã•ES - VIVO PARTICIPAÃ‡Ã•ES S/A;Telefonia MÃ³vel;Telefonia MÃ³vel; R$65,79 ;ON; R$26.363.000.000,00 ;400714000;0.0;0.0;0.0;0.0;2933480000.0;0.0;0.0;0.0;
VIVR3;VIVER - VIVER INCORPORADORA E CONSTRUTORA S.A.;ConstruÃ§Ã£o e Engenharia;ConstruÃ§Ã£o Civil; R$0,45 ;ON; R$200.428.000,00 ;445395000;14771500.0;0.0;0.0;0.0;-142471000.0;0.0;0.0;0.0;Jorceno Basso RepresentaÃ§Ãµes Ltda.
VLID3;VALID - VALID SOLUÃ‡Ã•ES E SERV. SEG. MEIOS PAG. IDENT. S.A.;ServiÃ§os;ServiÃ§os Diversos; R$17,98 ;ON; R$1.280.630.000,00 ;71225000;8767520.0;0.0;0.1502;27.057.103.111.111;58044000.0;0.021;0.466148;0.0;JP Morgan Asset Management
VNET3;CIELO - CIELO S.A.;ServiÃ§os Financeiros Diversos;ServiÃ§os Financeiros Diversos; R$-   ;ON; R$-   ;2716820000;0.0;0.0;0.2134;0.0;3660700000.0;0.0;0.0;0.0;
VPSC3;VPSC - VARIG PARTIC. EM SERVIÃ‡OS COMPLEMENTARES;Transporte;ServiÃ§os de Apoio e Armazenagem; R$6,03 ;ON; R$3.195.660,00 ;529960000;0.0;0.0;0.0;0.0;-101601000.0;0.0;0.0;0.0;
VPTA3;VPTA - VARIG PARTICIPAÃ‡Ã•ES EM TRANSP AÃ‰REOS S/A;Transporte;Transporte AÃ©reo; R$5,00 ;ON; R$2.743.550,00 ;548710000;0.0;0.0;0.0;0.0;-87703000.0;0.0;0.0;0.0;
VTLM3;VITALYZE.ME - VITALYZE.ME SAUDE E TECNOLOGIA S.A.;Prods. de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal; R$0,79 ;ON; R$5.974.770,00 ;7563000;0.0;0.0;0.0;0.0;-5196340.0;0.0;0.0;0.0;
VULC3;VULCABRAS S/A. - VULCABRAS SA;Tecidos, VestuÃ¡rio e CalÃ§ados;CalÃ§ados; R$6,45 ;ON; R$1.585.130.000,00 ;245756000;3073780.0;0.0;0.1037;0.0;151371000.0;0.0;0.0;0.0;L4E FIM CP IE
VVAR3;VIAVAREJO - VIA VAREJO S.A.;ComÃ©rcio;EletrodomÃ©sticos; R$4,30 ;ON; R$5.565.500.000,00 ;1294300000;20871000.0;0.0;0.0119;16.535.454.545.455;141000000.0;0.003;0.117273;0.0;Lazard Asset Management LLC
VVAX3;VIVAX SA - VIVAX SA;;; R$-   ;ON; R$-   ;110398000;0.0;0.0;0.0;0.0;-133146000.0;0.0;0.0;0.0;
WEGE3;WEG SA - WEG SA;MÃ¡quinas e Equipamentos;Motores, Compressores e Outros; R$17,00 ;ON; R$35.677.200.000,00 ;2098660000;60341600.0;0.0;0.0824;571.765.935.483.871;1303290000.0;0.016;0.43871;0.0;Davi Ricardo Behnke
WHRL3;WHIRLPOOL S.A. - WHIRLPOOL S.A.;Utilidades DomÃ©sticas;EletrodomÃ©sticos; R$4,49 ;ON; R$6.747.510.000,00 ;1502790000;2446.0;0.0;0.2097;0.0;357804000.0;0.0;0.0;0.0;Whirlpool do Brasil Ltda.
WISA3;WIEST SA - WIEST SA;Siderurgia e Metalurgia;Artefatos de Ferro e AÃ§o; R$0,20 ;ON; R$1.371.200,00 ;6856000;0.0;0.0;0.0;0.0;-4904000.0;0.0;0.0;0.0;
WLMM3;WLM - WLM INDÃšSTRIA E COMÃ‰RCIO S/A;ComÃ©rcio;Material de Transporte; R$5,00 ;ON; R$182.073.000,00 ;36414700;1182.0;0.0;0.036;0.0;4340000.0;0.0;0.0;0.0;
WMBY3;WEMBLEY SOCIEDADE ANÃ”NIMA - WEMBLEY SOCIEDADE ANÃ”NIMA;Tecidos, VestuÃ¡rio e CalÃ§ados;Fios e Tecidos; R$25,39 ;ON; R$609.360.000,00 ;24000000;0.0;0.0;0.3166;0.0;-31574000.0;0.0;0.0;0.0;
WSON33;Wilson Sons - WILSON SONS LIMITED;Transporte;ServiÃ§os de Apoio e Armazenagem; R$39,99 ;PN; R$2.844.890.000,00 ;71140000;2326310.0;0.0;18.689;133.940.467.294.118;145376000.0;0.047;0.921338;0.0;
