STOCK_CODE,COMPANY,SECTOR,SECOND_SECTOR,STOCK_PRICE,STOCK_TYPE,VALUATION,STOCK_AVAILABLE_AMOUNT,AVG_21_NEGOCIATION,DIVIDEND_PERIOD,DIVIDEND_LAST_PRICE,DIVIDEND_TOTAL_VALUE_SHARED,NET_PROFIT,DIVIDEND_YELD,AVG_PAYOUT_12_MONTHS,AVG_PAYOUT_5_YEARS,MAJOR_SHARE_HOLDER
RAIA3,"RAIA - RAIA S.A.","Comércio e Distribuição",Medicamentos,30.500000,ON,1891460000.000000,62015000.000000,0.000000,0,0.000000,0.000000,45891000.000000,0.000000,0.000000,0.000000,
RANI3,"CELULOSE IRANI - CELULOSE IRANI SA","Madeira e Papel","Papel e Celulose",2.800000,ON,466817000.000000,166720000.000000,11950.000000,0,0.024700,0.000000,-76379000.000000,0.000000,0.000000,0.000000,"Irani Participações S.A."
RAPT3,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES - RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","Material de Transporte","Material Rodoviário",6.740000,ON,2330530000.000000,345776000.000000,35445.000000,0,0.056000,34622128.285714,119859000.000000,0.015000,0.288857,0.000000,"FUNDOS ADMINISTRADOS PELO CREDIT SUISSE - HEDGING GRIFFO - CSHG"
RCTB31,"TELEBRAS - TELEC. BRASILEIRAS S.A. - TELEBRÁS",Outros,Outros,41.000000,PN,2033800.000000,49605000.000000,0.000000,0,0.000000,0.000000,62175000.000000,0.000000,0.000000,0.000000,
RCTB33,"TELEBRAS - TELEC. BRASILEIRAS S.A. - TELEBRÁS",Outros,Outros,57.000000,PN,2827480.000000,49605000.000000,0.000000,0,0.000000,0.000000,62175000.000000,0.000000,0.000000,0.000000,
RDCD3,"Redecard - REDECARD S.A.","Serviços Financeiros Diversos","Serviços Financeiros Diversos",35.160000,ON,23661700000.000000,672971000.000000,0.000000,0,0.000000,0.000000,1569800000.000000,0.000000,0.000000,0.000000,
RDNI3,"RODOBENSIMOB - RODOBENS NEGOCIOS IMOBILIARIOS S.A.","Construção e Engenharia","Construção Civil",5.450000,ON,238546000.000000,43770000.000000,93284.000000,0,0.237000,0.000000,-37378000.000000,0.000000,0.000000,0.000000,"Kinea Investimentos"
RDTR3,"REDENTOR - REDENTOR ENERGIA S.A.","Equipamentos Elétricos","Equipamentos Elétricos",6.300000,ON,683430000.000000,108481000.000000,0.000000,0,0.189700,0.000000,84280000.000000,0.000000,0.000000,0.000000,
REDE3,"REDE EMPRESAS DE ENERGIA ELÉTRICA S.A. - REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.","Energia Elétrica","Energia Elétrica",6.970000,ON,14343400000.000000,2057870000.000000,20814.000000,0,0.012800,28714842.000000,350181000.000000,0.002000,0.082000,0.000000,
RENT3,"LOCALIZA RENT A CAR - LOCALIZA RENT A CAR SA",Diversos,"Aluguel de Carros",30.050000,ON,20047800000.000000,667149000.000000,123916000.000000,0,0.005000,179534998.858696,610731000.000000,0.009000,0.293967,0.000000,"José Salim Mattar Júnior"
