"STOCK_CODE";"COMPANY";"SECTOR";"SECOND_SECTOR";"STOCK_PRICE";"STOCK_TYPE";"VALUATION";"STOCK_AVAILABLE_AMOUNT";"AVG_21_NEGOCIATION";"DIVIDEND_PERIOD";"DIVIDEND_LAST_PRICE";"DIVIDEND_TOTAL_VALUE_SHARED";"NET_PROFIT";"DIVIDEND_YELD";"AVG_PAYOUT_12_MONTHS";"AVG_PAYOUT_5_YEARS";"MAJOR_SHARE_HOLDER"
"BISA3";"BROOKFIELD INCORPORACOES - BROOKFIELD INCORPORACOES S.A.";"Construção e Engenharia";"Construção Civil";1.58;"ON";21165700000.0;1339600000.0;0.0;0.0;0.0;0.0;-1197110000.0;0.0;0.0;0.0;""
"BKBR3";"BK BRASIL - BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA";"Hoteis e Restaurantes";"Restaurante e Similares";20.17;"ON";44883500000.0;222526000.0;18791400.0;0.0;0.0;0.0;66234000.0;0.0;0.0;0.0;""
"BMEB3";"BANCO MERCANTIL DO BRASIL S/A - BANCO MERCANTIL BRASIL SA";"Financeiros";"Bancos";7.12;"ON";3732020000.0;52416000.0;20081.0;0.0;0.1922;0.0;54993000.0;0.0;0.0;0.0;"E2M ESTRATEGIA FIM"
"BMEF3";"BMF - BOLSA DE MERCADORIAS & FUTUROS - BM&F S/A";"Serviços Financeiros Diversos";"Serviços Financeiros Diversos";11.0;"ON";111186000000.0;1010790000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"BMIN3";"BANCO MERCANTIL DE INVESTIMENTOS SA - BCO MERCANTIL INVS SA";"Financeiros";"Bancos";14.72;"ON";710240000.0;4825000.0;151.0;0.0;0.6;0.0;2618000.0;0.0;0.0;0.0;"BANCO MERCANTIL DO BRASIL S.A."
"BMKS3";"MONARK - BICICLETAS MONARK SA";"Viagens e Lazer";"Bicicletas";290.0;"ON";1318780000.0;454750.0;1681.0;0.0;17.83;8049990.588235;1934000.0;0.061;4.162353;0.0;"CAIXA PREVIDÊNCIA BANCO DO BRASIL - PREVI"
"BMTO3";"BRASMOTOR S.A - BRASMOTOR SA";"Utilidades Domésticas";"Eletrodomésticos";7.82;"ON";22399900000.0;286444000.0;0.0;0.0;0.2837;0.0;125572000.0;0.0;0.0;0.0;""
"BNBR3";"BANCO DO NORDESTE - BANCO DO NORDESTE DO BRASIL SA";"Financeiros";"Bancos";37.98;"ON";32803700000.0;86371000.0;15361.0;0.0;4.1338;147521977.258064;642188000.0;0.045;0.229718;0.0;"BB FGEDUC FI MULTIMERCADO"
"BNCA3";"NOSSA CAIXA-NOSSO BANCO - BANCO NOSSA CAIXA S.A.";"Financeiros";"Bancos";70.3;"ON";75246300000.0;107036000.0;0.0;0.0;0.0;0.0;-83325000.0;0.0;0.0;0.0;""
"BOBR3";"BOMBRIL SA - BOMBRIL SA";"Prods. de Uso Pessoal e de Limpeza";"Produtos de Limpeza";0.0;"ON";0.0;54065000.0;0.0;0.0;0.1617;0.0;137976000.0;0.0;0.0;0.0;"Caixa de Previd. dos Func. Banco do Brasil"
"BOVH3";"Bovespa Hld - BOVESPA HOLDING SA";"Serviços Financeiros Diversos";"Serviços Financeiros Diversos";15.71;"ON";113566000000.0;722888000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"BPAC3";"BTGP BANCO - BCO BTG PACTUAL S.A.";"Financeiros";"Bancos";8.3;"ON";218891000000.0;2637240000.0;2354.0;0.0;0.0174;1214491145.3125;851341000.0;0.055;1.426562;0.0;"Hanover Investments (Luxembourg) S.A."
"BPAR3";"BANPARÁ S.A. - BANCO ESTADO PARA SA";"Financeiros";"Bancos";151.0;"ON";14378200000.0;9522000.0;0.0;0.0;4.6666;254521301.261261;317116000.0;0.177;0.802613;0.0;"Outros"
"BPAT33";"Patagonia - BANCO PATAGONIA SA";"Financeiros";"Bancos";20.0;"PN";7481560000.0;748156000.0;0.0;0.0;7.3996;0.0;0.0;0.356;0.0;0.0;""
"BPHA3";"BRAZIL PHARMA S.A. - BR PHARMA";"Comércio e Distribuição";"Medicamentos";1.44;"ON";1628370000.0;113081000.0;93977.0;0.0;0.0077;0.0;-398619000.0;0.0;0.0;0.0;"BTGI Stigma LLC"
"BPIA3";"BEP - BANCO DO ESTADO DO PIAUÍ S.A.";"Financeiros";"Bancos";6.1;"ON";822768000.0;13488000.0;0.0;0.0;0.0;0.0;14583000.0;0.0;0.0;0.0;""
"BPNM3";"BANCO PAN - BCO PAN S.A.";"Financeiros";"Bancos";0.0;"ON";0.0;1141810000.0;0.0;0.0;0.0066;0.0;202764000.0;0.0;0.0;0.0;""
"BRAP3";"BRADESPAR S/A - BRADESPAR S/A";"Holdings Diversificadas";"Holdings Diversificadas";27.83;"ON";96857900000.0;348034000.0;545285.0;0.0;1.1682;406042970.025;555814000.0;0.042;0.730537;0.0;"GAP Asset Management"
"BRDT3";"PETROBRAS BR - PETROBRAS DISTRIBUIDORA S/A";"Petróleo, Gás e Biocombustíveis";"Exploração e/ou Refino e Distribuição";24.25;"ON";282512000000.0;1165000000.0;130157000.0;0.0;0.3722;1665801785.714286;2119000000.0;0.059;0.786126;0.0;""
"BRFS3";"BRF Foods - BRF Foods";"";"";0.0;"ND";0.0;0.0;0.0;0.0;0.1218;0.0;0.0;0.0;0.0;0.0;"AcoesTesouraria"
"BRGE3";"CONSORCIO ALFA - CONSORCIO ALFA DE ADMINISTRAÇÃO SA";"Financeiros";"Bancos";4.02;"ON";2960570000.0;73646000.0;443.0;0.0;0.0015;0.0;61191000.0;0.0;0.0;0.0;"Administradora Fortaleza Ltda."
"BRIN3";"BR Insurance - BRASIL INSURANCE PARTICIPAÇÕES E ADMINISTRAÇÃO S.A";"Previdência e Seguros";"Corretoras de Seguros";18.25;"ON";1401240000.0;7678000.0;500638.0;0.0;0.026;0.0;-70992000.0;0.0;0.0;0.0;""
"BRIV3";"ALFA DE INVESTIMENTO - BANCO ALFA DE INVESTIMENTO SA";"Financeiros";"Bancos";5.25;"ON";4651550000.0;88601000.0;1920.0;0.0;0.0;0.0;53438000.0;0.0;0.0;0.0;"Aloysio de Andrade Faria"
"BRKM3";"BRASKEM - BRASKEM S.A.";"Químicos";"Petroquímicos";46.41;"ON";369989000000.0;797219000.0;73087.0;0.0;1.8857;1516480391.698565;3331330000.0;0.041;0.455218;0.0;"Petroleo Brasileiro S.A - Petrobras"
"BRML3";"BR MALLS PARTICIPAÇÔES S/A - BR MALLS PARTICIPACOES S.A.";"Exploração de Imóveis";"Exploração de Imóveis";12.69;"ON";110640000000.0;871866000.0;96338100.0;0.0;0.0662;0.0;-366117000.0;0.007;0.0;0.0;"Canada Pension Plan Investment Board"
"BRPR3";"BR PROPERTIES - BR PROPERTIES S.A.";"Exploração de Imóveis";"Exploração de Imóveis";8.31;"ON";33832900000.0;407135000.0;3976030.0;0.0;0.1631;0.0;-20367000.0;0.02;0.0;0.0;"GP Real Properties II C, LLC"
"BRSR3";"BANRISUL S/A - BANCO DO ESTADO DO  RIO GRANDE DO SUL SA";"Financeiros";"Bancos";20.62;"ON";84330400000.0;408974000.0;101175.0;0.0;0.0494;472147381.433022;1312520000.0;0.056;0.359726;0.0;"Skagen AS"
"BRTP3";"BRASIL TELECOM PARTICIPAÇÕES S.A. - BRASIL TELECOM PARTICIPAÇÕES SA";"Telefonia Fixa";"Telefonia Fixa";35.71;"ON";129973000000.0;363969000.0;0.0;0.0;0.0;0.0;-193254000.0;0.0;0.0;0.0;""
"BSCT3";"BESC S.A. - BANCO DO ESTADO DE SANTA CATARINA SA";"Financeiros";"Bancos";4.05;"ON";6803110.0;167978000.0;0.0;0.0;0.0;0.0;19271000.0;0.0;0.0;0.0;""
"BSEV3";"BIOSEV - BIOSEV S.A.";"Alimentos";"Açucar e Alcool";3.26;"ON";33266000000.0;1020430000.0;103143.0;0.0;0.0;0.0;-907703000.0;0.0;0.0;0.0;"NL PARTICIPATIONS HOLDINGS 4 B.V."
"BSGR3";"AGF BRASIL SEGUROS - AGF BRASIL SEGUROS SA";"";"";1091.28;"ON";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"BSLI3";"BRB - BRB-BANCO DE BRASILIA SA";"Financeiros";"Bancos";34.01;"ON";12347300000.0;36305000.0;90.0;0.0;0.4186;98794087.686833;102033000.0;0.08;0.968256;0.0;"Outros"
