"CODE";"COMPANY";"SECTOR";"SECOND_SECTOR";"STOCK_PRICE";"STOCK_TYPE";"VALUATION";"STOCK_AVAILABLE_AMOUNT";"AVG_21_NEGOCIATION";"DIVIDEND_PERIOD";"DIVIDEND_LAST_PRICE";"DIVIDEND_TOTAL_VALUE_SHARED";"NET_PROFIT";"DIVIDEND_YELD";"AVG_PAYOUT_12_MONTHS";"AVG_PAYOUT_5_YEARS";"MAJOR_SHARE_HOLDER"
"CEDO3";"Cia. de Fiacao e Tecidos Cedro Cachoeira";"Têxtil";"";9.6;"ON";0.0;0.0;0.0;0.0;0.0;0.0;2897.0;0.0;0.0;0.0;""
"CEEB3";"Cia Eletricidade da Bahia";"Energia Elétrica";"";39.49;"ON";0.0;0.0;0.0;0.0;0.0;0.0;200002.0;0.0;0.0;0.0;""
"CEED3B";"Cia Est de Dist de Energia Eletr Ceee-D";"Energia Elétrica";"";2.5;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-103947.0;0.0;0.0;0.0;""
"CEGR3";"Cia. Distrib. de Gas do Rio de Janeiro";"Petróleo e Gás";"";85.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;84353.0;0.0;0.0;0.0;""
"CELM3";"Celm Cia Equip Labs Modernos";"Outros";"";15.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;""
"CELP3";"Centrais Eletricas do Para S/A - Celpa";"Energia Elétrica";"";0.62;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-233265.0;0.0;0.0;0.0;""
"CEPE3";"Cia Energia de Pernambuco";"Energia Elétrica";"";24.53;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-19947.0;0.0;0.0;0.0;""
"CESP3";"Cesp - Companhia Energetica de Sao Paulo";"Energia Elétrica";"";16.33;"ON";0.0;0.0;0.0;0.0;0.0;0.0;149571.0;0.0;0.0;0.0;""
"CGAS3";"Companhia de Gas de Sao Paulo - Comgas";"Petróleo e Gás";"";48.99;"ON";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"CGRA3";"Grazziotin S/A";"Comércio";"";18.3;"ON";0.0;0.0;0.0;0.0;0.0;0.0;37876.0;0.0;0.0;0.0;""
